analysis_id,cell_id,taskset_id,exact_e0,analysis_variant,task_id,priority_rank,C,D,T,P,D_over_T,task_solver_status,task_certification_status,candidate_response_time,closing_w,witness_h,checked_w_count,checked_h_count,checked_q_count,envelope_call_count,failure_reason,carry_in_vector_hash
158d3ee7104e21caf37dd87998abd89dbd8e9cb981c256f4cd51c50f41314808,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,CW_THETA_CW,0,0,3,30,54,279/400000,5/9,CANDIDATE_FOUND,CERTIFIED,4,4,1,2,3,5,5,,
158d3ee7104e21caf37dd87998abd89dbd8e9cb981c256f4cd51c50f41314808,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,CW_THETA_CW,1,1,10,21,62,9300000000000001/200000000000000000000,21/62,CANDIDATE_FOUND,CERTIFIED,11,11,1,2,3,12,12,,0cd4f7167aadfbd21b6fae4d66e0c97fa3b7b1fd7a664a8d92664d18e2212156
158d3ee7104e21caf37dd87998abd89dbd8e9cb981c256f4cd51c50f41314808,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,CW_THETA_CW,2,2,5,48,95,279/400000,48/95,CANDIDATE_FOUND,CERTIFIED,9,9,1,5,3,10,10,,6ac64826ff919a6e9be42cf4c67604a2b50e54d43b1d58c04c52723457cce9b4
158d3ee7104e21caf37dd87998abd89dbd8e9cb981c256f4cd51c50f41314808,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,CW_THETA_CW,3,3,2,64,113,279/500000,64/113,CANDIDATE_FOUND,CERTIFIED,11,11,1,10,3,12,12,,8f02aa5b22746141b7bdf2db92810b8c997cf359cbcfef061d538222d14ed7b7
158d3ee7104e21caf37dd87998abd89dbd8e9cb981c256f4cd51c50f41314808,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,CW_THETA_CW,4,4,4,21,130,279/400000,21/130,CANDIDATE_FOUND,CERTIFIED,15,15,1,12,3,16,16,,38df3909ad5b748473af3db08ad8d1457f30e92b12b7e338dbea1f5ce4103de5
158d3ee7104e21caf37dd87998abd89dbd8e9cb981c256f4cd51c50f41314808,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,CW_THETA_CW,5,5,14,163,171,279/400000,163/171,CANDIDATE_FOUND,CERTIFIED,27,27,1,14,3,28,28,,1d3a79c0140c1c82261b2b8ad17d1252a384e2ce79e30ef22abaa7f2b83cfbcb
ae786bc55bfe9529aa83a9b774111cbc91b46e24722269298f3fb6e71e488864,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,LOC_THETA_LOC,0,0,3,30,54,279/400000,5/9,CANDIDATE_FOUND,CERTIFIED,4,4,1,2,3,5,5,,
ae786bc55bfe9529aa83a9b774111cbc91b46e24722269298f3fb6e71e488864,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,LOC_THETA_LOC,1,1,10,21,62,9300000000000001/200000000000000000000,21/62,CANDIDATE_FOUND,CERTIFIED,11,11,1,2,3,12,12,,0cd4f7167aadfbd21b6fae4d66e0c97fa3b7b1fd7a664a8d92664d18e2212156
ae786bc55bfe9529aa83a9b774111cbc91b46e24722269298f3fb6e71e488864,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,LOC_THETA_LOC,2,2,5,48,95,279/400000,48/95,CANDIDATE_FOUND,CERTIFIED,9,9,1,5,3,10,10,,6ac64826ff919a6e9be42cf4c67604a2b50e54d43b1d58c04c52723457cce9b4
ae786bc55bfe9529aa83a9b774111cbc91b46e24722269298f3fb6e71e488864,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,LOC_THETA_LOC,3,3,2,64,113,279/500000,64/113,CANDIDATE_FOUND,CERTIFIED,11,11,1,10,3,12,12,,8f02aa5b22746141b7bdf2db92810b8c997cf359cbcfef061d538222d14ed7b7
ae786bc55bfe9529aa83a9b774111cbc91b46e24722269298f3fb6e71e488864,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,LOC_THETA_LOC,4,4,4,21,130,279/400000,21/130,CANDIDATE_FOUND,CERTIFIED,15,15,1,12,3,16,16,,38df3909ad5b748473af3db08ad8d1457f30e92b12b7e338dbea1f5ce4103de5
ae786bc55bfe9529aa83a9b774111cbc91b46e24722269298f3fb6e71e488864,88235f23e8c35c11e539cda303d345cf4351032ac4dabcfe695b818bbd7c6bbb,v93-9c4084da74-t00000-4d61ae06afb2,0,LOC_THETA_LOC,5,5,14,163,171,279/400000,163/171,CANDIDATE_FOUND,CERTIFIED,27,27,1,14,3,28,28,,1d3a79c0140c1c82261b2b8ad17d1252a384e2ce79e30ef22abaa7f2b83cfbcb
