analysis_id,request_id,cell_id,taskset_id,taskset_hash,generation_seed,M,task_n,utilization,exact_e0,deadline_mode,analysis_variant,method_role,solver_status,certification_status,taskset_proven,first_failed_priority,n_tasks_total,n_tasks_evaluated,n_tasks_candidate_found,n_tasks_certified,source_analysis_id,source_vector_hash,target_carry_in_vector_hash,dependency_check_status,fixed_carry_in_interface_status,dominance_invariant_status,dominance_violation_count,diagnostic_mode,final_attempt_id,attempt_count,timeout_budget_seconds,runtime_wall_seconds,runtime_cpu_seconds,worker_startup_seconds,serialization_seconds,ipc_seconds,outer_timeout,terminal_origin
03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,32fc081a701161d630819aa2bd6a2bb8fb2816e64a7acd3b1b5d0ef0515cea65,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,959759777,4,10,1/5,21473099401200000281/200000000000000000000,constrained,CW_THETA_CW,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,f6a2cd68f7907b3bfdd29fdc9a8aa864b2de5974cd9c2b8c030ba424805b27fd,1,30.0,0.827760433,0.713765136,0.092161738,0.000636759,0.010930550,False,PRODUCTION_ANALYZER
291e282918924c1d95ac0a4820a17672d2355d560444ee3c459a8c1ec4e6ddc4,753a14dee952c0dd2b012d352321c148f553283f9950d24f214306bb0d02cfb7,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,453664908,4,10,3/10,1,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,e277c6acf469ee7438c676281c5c1dc8087a493bb2ddecf66fdb92c5fd3f91de,64167ecfec72444bf6b005114804044f37fd75338af123c7d84bcfe9b5adcd0e,64167ecfec72444bf6b005114804044f37fd75338af123c7d84bcfe9b5adcd0e,VALID,ACTIVE,SATISFIED,0,False,3b1a4a67bfc7b195276ce150d69196cbcdb53d0d0bb188c77dd618cdb23648eb,1,30.0,3.189050758,3.077466287,0.090417717,0.000753672,0.010579447,False,PRODUCTION_ANALYZER
2f19e161f2a0dc6c4dc133ee553ed78fa8fb1ae219f18b58a56bf9a5406aff11,d6fb84f003dc6e97fbd2fdeef9e40f4a536dcdbecb2f9881283b890e9db71a4b,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,959759777,4,10,1/5,1,constrained,CW_D,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,97e1f971e4d935818a495937e0dd95b4b23caa61b8743614fd745dc7e7c1ae55,,NOT_CHECKED,ACTIVE,NOT_APPLICABLE,0,False,8da72265d9b42297bcc41b1db32b58977f6e6c5a0a8377e3b1303defed799835,1,30.0,0.976962477,0.866876737,0.088799863,0.001125598,0.017944212,False,PRODUCTION_ANALYZER
3795bd5eecb4d3680706cf7635099b550c1f986fc2a55bee3092f1f5edfe4284,678abc96a99423b5a0ac5c3e352c17fd0cccfc0b8623655e017bb3e54e18771c,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,11215736,4,10,2/5,21473099401200000281/200000000000000000000,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,3a15ae69dfae879cc0eeebd9f27fabcf7caf31a075daa2d6e56fb5bed0db5867,74c9235091392ff048a01be7621c43f62ad665dd7590ef94a35702c477a70dec,74c9235091392ff048a01be7621c43f62ad665dd7590ef94a35702c477a70dec,VALID,ACTIVE,SATISFIED,0,False,aec9bdf07f2e3105feb7e3d6f197c4f01f19e1d44b59faab79d2c10e742100d9,1,30.0,8.158995865,8.039406869,0.104461625,0.000695221,0.012243613,False,PRODUCTION_ANALYZER
38fcc2a5ee269e9167d705bb4c4c21b7ec923a0f660478aeb45498a05e67540b,a52b1559b3983228da8d811023780b25654e44f8ee6310fdcda11cef905b384f,be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,11215736,4,10,2/5,1,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,d728e68195a17aea615264045aa89e527fc2469f56f5ae66125a6ebbcdd668f9,74c9235091392ff048a01be7621c43f62ad665dd7590ef94a35702c477a70dec,74c9235091392ff048a01be7621c43f62ad665dd7590ef94a35702c477a70dec,VALID,ACTIVE,SATISFIED,0,False,4b7860de4f33b630f8ae1abc82aae639779aa3165e219f1a7120826522834e13,1,30.0,8.018759370,7.917957095,0.086807827,0.000625107,0.010854444,False,PRODUCTION_ANALYZER
3a15ae69dfae879cc0eeebd9f27fabcf7caf31a075daa2d6e56fb5bed0db5867,7c4dfc227b239f3624e078c98f9294026f820c11a7d2b114a94317c14683f0d5,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,11215736,4,10,2/5,21473099401200000281/200000000000000000000,constrained,CW_THETA_CW,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,5f7ca615e60f467542d587b96ccc3eda536cda5fd27e02c9306af96d8fc190a7,1,30.0,9.319658070,9.213222621,0.087119576,0.000436309,0.015066702,False,PRODUCTION_ANALYZER
44e387337a99aa5c8f7d3601d6303f3ef64e2148e2d6b2ade23a509ec2c9699c,675f2ebca488f2de67581bbd9f07f8759541d6a2b92863226a29b94b0748d57e,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,453664908,4,10,3/10,1,constrained,CW_D,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,f4679812edc7157f9e64d7761c3902f98660a402b04b88b34ea903f4bfd8f8c6,,NOT_CHECKED,ACTIVE,NOT_APPLICABLE,0,False,8f2a32844fc17496ec93ef3b912e656b79f40259c2874d95170583f28a1cec3e,1,30.0,5.255567600,5.142236805,0.089163986,0.000620719,0.010932743,False,PRODUCTION_ANALYZER
4514de81356eb4c6570d55d92517d50212e74cd96aadc75cf441920dc24a78d9,99a8e93189f7c4814c807dcdc0030e4995345b48278bf6218057c5819b26d911,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,959759777,4,10,1/5,1,constrained,LOC_D,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,97e1f971e4d935818a495937e0dd95b4b23caa61b8743614fd745dc7e7c1ae55,,NOT_CHECKED,ACTIVE,NOT_APPLICABLE,0,False,d6de2e5854ec4556b77aaff576eabfe0ee586dc8718981ada19cb646c22dcc3f,1,30.0,0.989685459,0.863873891,0.110017563,0.001052509,0.012978429,False,PRODUCTION_ANALYZER
4c17ae4935e6b9340c7575e32a89e5d927c31f6f228e667b03e879573480506e,d1fce70659af7ea964f864c72a503d9cdae3c9b3a1d00ae6bffff5834c28556a,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,959759777,4,10,1/5,21473099401200000281/200000000000000000000,constrained,LOC_THETA_LOC,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,714dfd21d40dbbef995c73ce7c85efdf169c51efb16f2ce26cad6619c39a9d81,1,30.0,0.868076517,0.743523605,0.103523954,0.000383789,0.010037906,False,PRODUCTION_ANALYZER
60603ec7dee01a4ec29ac0ba556a987b00fa99bba7523730c339d7aba352fbef,a6208875824fdebd785ad79be94f3336b455caa24179a66ed6d705b7af7aa8e1,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,453664908,4,10,3/10,21473099401200000281/200000000000000000000,constrained,LOC_THETA_LOC,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,bf1fc7dc6999a04ab0c40c2d3416f490559a67f2daaed46b349c480eb39fe560,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,c3ccf119aacbaefecee5fe7dafa1ee5314259c0dd26962849489606fdf32cd02,1,30.0,3.130706299,3.020890743,0.087401596,0.000486544,0.012189866,False,PRODUCTION_ANALYZER
